# associated file path and the corresponding camera poses
# time_stamp, rgb_image, depth_image, tx, ty, tz, qx, qy, qz, qw 
0 rgb/1692837018.035739.png depth/1692837018.034007.png 0 0 0 -0 -0 -0 1
0.015505 rgb/1692837018.051244.png depth/1692837018.050210.png -8.26543e-05 0.000152107 0.000309096 -5.12803e-06 4.23393e-05 -5.79881e-05 1
0.0658 rgb/1692837018.101539.png depth/1692837018.099791.png 8.25184e-05 0.000135509 3.70287e-05 3.10877e-05 -4.77458e-06 2.77072e-05 1
0.083179 rgb/1692837018.118918.png depth/1692837018.117861.png 0.000228754 0.000115782 0.000118919 -1.84853e-05 -3.50961e-06 -6.68571e-06 1
0.113826 rgb/1692837018.149565.png depth/1692837018.148470.png 0.000330068 1.91061e-05 -8.0251e-05 -1.61489e-05 -4.14939e-05 -1.65704e-05 1
0.149763 rgb/1692837018.185502.png depth/1692837018.184160.png -0.000125075 -0.000168232 0.000230001 -5.45881e-05 3.57444e-05 -7.60104e-06 1
0.1914 rgb/1692837018.227139.png depth/1692837018.224999.png -6.98322e-05 -8.53169e-05 3.35234e-05 -9.23335e-06 1.95276e-05 -8.05879e-06 1
0.224733 rgb/1692837018.260472.png depth/1692837018.258747.png -3.16054e-05 -7.2332e-05 -0.000209328 -1.15984e-05 2.33735e-05 -6.43526e-05 1
0.263272 rgb/1692837018.299011.png depth/1692837018.297420.png 7.42666e-05 7.07926e-05 4.45844e-05 -6.65335e-07 -1.08575e-06 3.3809e-05 1
0.283309 rgb/1692837018.319048.png depth/1692837018.317990.png 0.00021441 0.000104501 0.000260402 -1.02976e-05 -5.08804e-06 4.00764e-05 1
0.314056 rgb/1692837018.349795.png depth/1692837018.348620.png 7.90594e-05 -8.5498e-05 2.65755e-05 -3.13159e-05 2.81519e-05 -5.40821e-05 1
0.349994 rgb/1692837018.385733.png depth/1692837018.384485.png -0.000126066 4.25535e-05 -0.00012732 -1.68319e-05 2.47066e-05 -7.36387e-05 1
0.387775 rgb/1692837018.423514.png depth/1692837018.421762.png 0.000129395 4.86414e-05 0.000181218 1.16248e-06 6.02475e-06 -1.92654e-05 1
0.421461 rgb/1692837018.457200.png depth/1692837018.455437.png -8.2695e-05 0.000161509 0.000185174 2.50638e-05 2.69736e-05 -7.68423e-05 1
